date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,20.0,2.0,1.0,0.0,0.0
2021-01-02,53.0,2.0,0.0,9.0,0.0
2021-01-03,51.0,3.0,3.0,13.0,0.0
2021-01-04,80.0,2.0,5.0,18.0,0.0
2021-01-05,71.0,4.0,7.0,25.0,0.0
2021-01-06,73.0,4.0,10.0,45.0,3.0
2021-01-07,71.0,4.0,11.0,29.0,2.0
2021-01-08,132.0,9.0,14.0,20.0,0.0
2021-01-09,73.0,3.0,4.0,21.0,0.0
2021-01-10,48.0,2.0,5.0,28.0,0.0
2021-01-11,80.0,7.0,8.0,61.0,2.0
2021-01-12,52.0,6.0,1.0,30.0,0.0
2021-01-13,77.0,4.0,13.0,63.0,6.0
2021-01-14,66.0,8.0,8.0,49.0,0.0
2021-01-15,79.0,5.0,9.0,54.0,0.0
2021-01-16,33.0,1.0,5.0,4.0,0.0
2021-01-17,38.0,2.0,2.0,18.0,0.0
2021-01-18,34.0,9.0,1.0,4.0,0.0
2021-01-19,72.0,6.0,11.0,33.0,0.0
2021-01-20,86.0,5.0,3.0,65.0,0.0
2021-01-21,87.0,5.0,9.0,42.0,0.0
2021-01-22,50.0,10.0,8.0,24.0,0.0
2021-01-23,60.0,4.0,9.0,18.0,0.0
2021-01-24,24.0,1.0,1.0,5.0,0.0
2021-01-25,69.0,7.0,14.0,40.0,0.0
2021-01-26,84.0,8.0,8.0,55.0,0.0
2021-01-27,67.0,3.0,18.0,31.0,4.0
2021-01-28,105.0,7.0,11.0,25.0,0.0
2021-01-29,74.0,8.0,4.0,17.0,0.0
2021-01-30,33.0,5.0,5.0,2.0,0.0
2021-01-31,28.0,2.0,2.0,7.0,0.0
2021-02-01,48.0,8.0,3.0,39.0,0.0
2021-02-02,57.0,14.0,5.0,57.0,0.0
2021-02-03,64.0,8.0,9.0,30.0,0.0
2021-02-04,96.0,7.0,8.0,35.0,0.0
2021-02-05,83.0,9.0,8.0,36.0,0.0
2021-02-06,71.0,7.0,7.0,16.0,0.0
2021-02-07,33.0,2.0,2.0,2.0,0.0
2021-02-08,95.0,6.0,4.0,53.0,0.0
2021-02-09,110.0,7.0,9.0,55.0,0.0
2021-02-10,101.0,7.0,14.0,16.0,1.0
2021-02-11,111.0,5.0,15.0,39.0,0.0
2021-02-12,76.0,7.0,8.0,41.0,0.0
2021-02-13,66.0,3.0,6.0,18.0,0.0
2021-02-14,64.0,6.0,4.0,5.0,0.0
2021-02-15,62.0,9.0,5.0,3.0,0.0
2021-02-16,86.0,8.0,9.0,26.0,0.0
2021-02-17,103.0,2.0,15.0,30.0,3.0
2021-02-18,59.0,10.0,9.0,13.0,0.0
2021-02-19,102.0,7.0,5.0,6.0,0.0
2021-02-20,46.0,1.0,3.0,9.0,0.0
2021-02-21,34.0,2.0,1.0,0.0,0.0
2021-02-22,73.0,9.0,13.0,30.0,1.0
2021-02-23,67.0,8.0,8.0,35.0,0.0
2021-02-24,73.0,8.0,8.0,46.0,3.0
2021-02-25,93.0,4.0,10.0,16.0,0.0
2021-02-26,85.0,12.0,8.0,27.0,0.0
2021-02-27,39.0,5.0,4.0,5.0,0.0
2021-02-28,45.0,2.0,1.0,9.0,0.0
2021-03-01,58.0,5.0,2.0,36.0,0.0
2021-03-02,57.0,4.0,13.0,50.0,0.0
2021-03-03,65.0,2.0,11.0,34.0,0.0
2021-03-04,49.0,5.0,3.0,8.0,0.0
2021-03-05,67.0,9.0,6.0,36.0,0.0
2021-03-06,56.0,1.0,8.0,25.0,0.0
2021-03-07,38.0,0.0,4.0,3.0,0.0
2021-03-08,72.0,9.0,7.0,24.0,0.0
2021-03-09,59.0,5.0,6.0,54.0,0.0
2021-03-10,76.0,8.0,12.0,16.0,2.0
2021-03-11,76.0,12.0,10.0,28.0,0.0
2021-03-12,106.0,8.0,2.0,27.0,0.0
2021-03-13,60.0,2.0,3.0,7.0,0.0
2021-03-14,57.0,6.0,7.0,14.0,0.0
2021-03-15,75.0,7.0,2.0,7.0,0.0
2021-03-16,75.0,5.0,6.0,47.0,0.0
2021-03-17,75.0,8.0,11.0,42.0,3.0
2021-03-18,90.0,9.0,11.0,66.0,0.0
2021-03-19,92.0,4.0,13.0,23.0,0.0
2021-03-20,28.0,0.0,6.0,4.0,0.0
2021-03-21,45.0,4.0,6.0,13.0,0.0
2021-03-22,62.0,6.0,7.0,16.0,0.0
2021-03-23,32.0,5.0,7.0,32.0,0.0
2021-03-24,23.0,3.0,7.0,47.0,2.0
2021-03-25,43.0,5.0,2.0,34.0,0.0
2021-03-26,45.0,0.0,5.0,30.0,0.0
2021-03-27,27.0,1.0,2.0,8.0,0.0
2021-03-28,23.0,1.0,3.0,3.0,0.0
2021-03-29,54.0,5.0,3.0,59.0,0.0
2021-03-30,56.0,7.0,11.0,37.0,0.0
2021-03-31,47.0,5.0,7.0,21.0,0.0
2021-04-01,70.0,2.0,18.0,54.0,0.0
