date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,5.0,1.0,3.0,4.0,5.0
2021-01-02,7.0,1.0,1.0,0.0,1.0
2021-01-03,8.0,2.0,0.0,0.0,0.0
2021-01-04,54.0,16.0,6.0,16.0,2.0
2021-01-05,71.0,8.0,9.0,15.0,11.0
2021-01-06,53.0,13.0,14.0,43.0,12.0
2021-01-07,67.0,11.0,20.0,33.0,18.0
2021-01-08,76.0,10.0,15.0,71.0,15.0
2021-01-09,20.0,4.0,8.0,0.0,0.0
2021-01-10,18.0,2.0,10.0,6.0,2.0
2021-01-11,95.0,9.0,25.0,50.0,29.0
2021-01-12,84.0,10.0,21.0,155.0,17.0
2021-01-13,111.0,8.0,14.0,104.0,12.0
2021-01-14,63.0,10.0,20.0,68.0,27.0
2021-01-15,73.0,10.0,21.0,83.0,17.0
2021-01-16,41.0,2.0,7.0,3.0,4.0
2021-01-17,9.0,3.0,1.0,1.0,1.0
2021-01-18,78.0,9.0,22.0,86.0,20.0
2021-01-19,96.0,9.0,27.0,118.0,35.0
2021-01-20,101.0,12.0,46.0,113.0,31.0
2021-01-21,97.0,17.0,44.0,41.0,36.0
2021-01-22,72.0,14.0,27.0,99.0,23.0
2021-01-23,16.0,1.0,6.0,2.0,1.0
2021-01-24,16.0,2.0,3.0,3.0,2.0
2021-01-25,82.0,12.0,26.0,80.0,22.0
2021-01-26,70.0,19.0,23.0,64.0,30.0
2021-01-27,103.0,8.0,25.0,55.0,16.0
2021-01-28,55.0,8.0,24.0,144.0,24.0
2021-01-29,64.0,9.0,23.0,66.0,26.0
2021-01-30,9.0,9.0,1.0,3.0,0.0
2021-01-31,18.0,2.0,1.0,1.0,1.0
2021-02-01,53.0,9.0,26.0,62.0,24.0
2021-02-02,62.0,15.0,30.0,83.0,31.0
2021-02-03,73.0,11.0,21.0,51.0,30.0
2021-02-04,88.0,12.0,25.0,36.0,25.0
2021-02-05,107.0,20.0,15.0,29.0,8.0
2021-02-06,10.0,4.0,1.0,18.0,2.0
2021-02-07,15.0,8.0,2.0,1.0,0.0
2021-02-08,115.0,10.0,24.0,51.0,15.0
2021-02-09,78.0,28.0,37.0,71.0,34.0
2021-02-10,120.0,27.0,19.0,48.0,25.0
2021-02-11,104.0,15.0,26.0,43.0,19.0
2021-02-12,82.0,16.0,22.0,40.0,15.0
2021-02-13,10.0,0.0,2.0,0.0,2.0
2021-02-14,5.0,4.0,2.0,0.0,0.0
2021-02-15,82.0,9.0,22.0,17.0,26.0
2021-02-16,59.0,7.0,18.0,42.0,19.0
2021-02-17,70.0,16.0,29.0,56.0,18.0
2021-02-18,92.0,19.0,18.0,22.0,12.0
2021-02-19,60.0,11.0,13.0,18.0,14.0
2021-02-20,17.0,7.0,1.0,4.0,1.0
2021-02-21,5.0,6.0,0.0,0.0,1.0
2021-02-22,68.0,9.0,19.0,36.0,15.0
2021-02-23,71.0,8.0,23.0,36.0,19.0
2021-02-24,81.0,9.0,15.0,56.0,22.0
2021-02-25,65.0,10.0,22.0,26.0,15.0
2021-02-26,55.0,11.0,22.0,34.0,12.0
2021-02-27,15.0,2.0,4.0,1.0,4.0
2021-02-28,10.0,4.0,1.0,0.0,3.0
2021-03-01,64.0,21.0,15.0,31.0,13.0
2021-03-02,50.0,27.0,29.0,52.0,24.0
2021-03-03,101.0,14.0,20.0,73.0,17.0
2021-03-04,91.0,13.0,37.0,38.0,29.0
2021-03-05,78.0,8.0,27.0,47.0,31.0
2021-03-06,16.0,3.0,2.0,4.0,1.0
2021-03-07,8.0,2.0,2.0,1.0,3.0
2021-03-08,69.0,14.0,24.0,39.0,25.0
2021-03-09,56.0,17.0,27.0,62.0,18.0
2021-03-10,53.0,5.0,26.0,22.0,22.0
2021-03-11,64.0,19.0,30.0,118.0,27.0
2021-03-12,74.0,6.0,25.0,55.0,21.0
2021-03-13,13.0,4.0,1.0,20.0,0.0
2021-03-14,10.0,4.0,2.0,2.0,0.0
2021-03-15,44.0,12.0,25.0,64.0,19.0
2021-03-16,48.0,11.0,25.0,50.0,26.0
2021-03-17,59.0,11.0,26.0,26.0,23.0
2021-03-18,67.0,17.0,38.0,76.0,36.0
2021-03-19,47.0,20.0,19.0,75.0,21.0
2021-03-20,25.0,5.0,2.0,3.0,0.0
2021-03-21,16.0,3.0,3.0,2.0,0.0
2021-03-22,89.0,14.0,31.0,88.0,22.0
2021-03-23,106.0,11.0,23.0,92.0,29.0
2021-03-24,101.0,6.0,26.0,95.0,26.0
2021-03-25,95.0,14.0,20.0,40.0,16.0
2021-03-26,144.0,18.0,25.0,50.0,23.0
2021-03-27,6.0,1.0,5.0,0.0,0.0
2021-03-28,13.0,0.0,5.0,1.0,0.0
2021-03-29,157.0,15.0,54.0,91.0,45.0
2021-03-30,141.0,19.0,41.0,66.0,26.0
2021-03-31,81.0,15.0,26.0,123.0,20.0
2021-04-01,92.0,7.0,37.0,57.0,28.0
2021-04-02,61.0,11.0,24.0,47.0,17.0
2021-04-03,12.0,6.0,6.0,2.0,1.0
2021-04-04,13.0,7.0,4.0,1.0,0.0
2021-04-05,33.0,6.0,15.0,22.0,12.0
2021-04-06,56.0,13.0,19.0,69.0,25.0
2021-04-07,70.0,14.0,22.0,40.0,32.0
2021-04-08,65.0,25.0,23.0,82.0,21.0
2021-04-09,105.0,16.0,24.0,95.0,20.0
2021-04-10,21.0,10.0,3.0,0.0,1.0
2021-04-11,10.0,2.0,0.0,0.0,0.0
2021-04-12,75.0,16.0,27.0,59.0,21.0
2021-04-13,83.0,15.0,27.0,70.0,29.0
2021-04-14,107.0,15.0,32.0,105.0,29.0
2021-04-15,50.0,13.0,35.0,105.0,22.0
2021-04-16,70.0,7.0,21.0,87.0,25.0
2021-04-17,15.0,6.0,3.0,0.0,2.0
2021-04-18,13.0,2.0,3.0,3.0,0.0
2021-04-19,58.0,9.0,30.0,67.0,23.0
2021-04-20,257.0,14.0,40.0,81.0,29.0
2021-04-21,106.0,19.0,28.0,136.0,31.0
2021-04-22,118.0,11.0,37.0,77.0,24.0
2021-04-23,102.0,18.0,31.0,82.0,26.0
2021-04-24,14.0,1.0,10.0,1.0,5.0
2021-04-25,13.0,2.0,5.0,6.0,3.0
2021-04-26,82.0,8.0,31.0,69.0,22.0
2021-04-27,78.0,12.0,39.0,79.0,41.0
2021-04-28,155.0,20.0,37.0,96.0,43.0
2021-04-29,66.0,12.0,27.0,96.0,23.0
2021-04-30,79.0,19.0,24.0,75.0,28.0
2021-05-01,8.0,0.0,2.0,1.0,2.0
2021-05-02,23.0,3.0,12.0,2.0,10.0
2021-05-03,47.0,16.0,38.0,71.0,26.0
2021-05-04,96.0,22.0,35.0,123.0,33.0
2021-05-05,105.0,18.0,20.0,122.0,26.0
2021-05-06,66.0,12.0,30.0,69.0,24.0
2021-05-07,14.0,7.0,6.0,7.0,2.0
2021-05-08,15.0,1.0,4.0,7.0,4.0
2021-05-09,6.0,2.0,0.0,2.0,0.0
2021-05-10,77.0,7.0,29.0,78.0,27.0
2021-05-11,65.0,15.0,37.0,110.0,31.0
2021-05-12,127.0,16.0,48.0,155.0,56.0
2021-05-13,67.0,12.0,50.0,113.0,35.0
2021-05-14,96.0,10.0,50.0,92.0,44.0
2021-05-15,15.0,3.0,7.0,14.0,3.0
2021-05-16,7.0,5.0,4.0,4.0,1.0
2021-05-17,138.0,9.0,70.0,133.0,53.0
2021-05-18,146.0,15.0,76.0,97.0,57.0
2021-05-19,88.0,23.0,84.0,105.0,93.0
2021-05-20,112.0,25.0,55.0,46.0,54.0
2021-05-21,21.0,8.0,3.0,6.0,0.0
2021-05-22,6.0,2.0,2.0,0.0,1.0
2021-05-23,7.0,1.0,0.0,0.0,0.0
2021-05-24,116.0,15.0,42.0,47.0,32.0
2021-05-25,99.0,24.0,52.0,97.0,31.0
2021-05-26,129.0,15.0,64.0,86.0,46.0
2021-05-27,141.0,22.0,58.0,129.0,67.0
2021-05-28,130.0,27.0,57.0,58.0,58.0
2021-05-29,22.0,1.0,9.0,10.0,8.0
2021-05-30,15.0,0.0,0.0,0.0,0.0
2021-05-31,81.0,7.0,44.0,75.0,51.0
2021-06-01,109.0,12.0,51.0,207.0,50.0
2021-06-02,109.0,20.0,47.0,90.0,45.0
2021-06-03,120.0,10.0,67.0,96.0,54.0
2021-06-04,92.0,16.0,58.0,96.0,66.0
2021-06-05,8.0,3.0,1.0,0.0,3.0
2021-06-06,1.0,2.0,0.0,0.0,0.0
2021-06-07,94.0,19.0,27.0,56.0,20.0
2021-06-08,97.0,14.0,28.0,23.0,25.0
2021-06-09,156.0,30.0,38.0,43.0,30.0
2021-06-10,105.0,35.0,33.0,48.0,31.0
2021-06-11,133.0,20.0,31.0,49.0,24.0
2021-06-12,12.0,3.0,1.0,0.0,3.0
2021-06-13,21.0,6.0,4.0,0.0,0.0
2021-06-14,136.0,36.0,46.0,35.0,32.0
2021-06-15,111.0,51.0,47.0,43.0,45.0
2021-06-16,109.0,27.0,31.0,48.0,26.0
2021-06-17,143.0,24.0,44.0,67.0,42.0
2021-06-18,127.0,26.0,21.0,32.0,20.0
2021-06-19,22.0,3.0,2.0,6.0,1.0
2021-06-20,8.0,4.0,2.0,0.0,0.0
2021-06-21,125.0,23.0,15.0,11.0,14.0
2021-06-22,106.0,27.0,16.0,56.0,14.0
2021-06-23,104.0,25.0,22.0,15.0,26.0
2021-06-24,111.0,24.0,26.0,29.0,19.0
2021-06-25,55.0,21.0,22.0,21.0,12.0
2021-06-26,31.0,1.0,3.0,5.0,1.0
2021-06-27,7.0,2.0,0.0,8.0,2.0
2021-06-28,71.0,27.0,21.0,37.0,16.0
2021-06-29,101.0,13.0,24.0,63.0,17.0
2021-06-30,100.0,13.0,21.0,74.0,17.0
2021-07-01,105.0,21.0,26.0,43.0,24.0
2021-07-02,98.0,13.0,29.0,35.0,20.0
2021-07-03,12.0,3.0,1.0,3.0,0.0
2021-07-04,11.0,4.0,2.0,0.0,1.0
2021-07-05,100.0,9.0,19.0,37.0,22.0
2021-07-06,117.0,26.0,20.0,56.0,19.0
2021-07-07,126.0,18.0,25.0,69.0,30.0
2021-07-08,88.0,16.0,30.0,96.0,21.0
2021-07-09,100.0,16.0,22.0,59.0,18.0
2021-07-10,12.0,1.0,1.0,0.0,2.0
2021-07-11,17.0,5.0,6.0,3.0,3.0
