date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,19.0,2.0,3.0,12.0,2.0
2021-01-02,7.0,2.0,1.0,1.0,1.0
2021-01-03,10.0,2.0,1.0,5.0,1.0
2021-01-04,99.0,17.0,14.0,12.0,12.0
2021-01-05,53.0,12.0,4.0,9.0,3.0
2021-01-06,108.0,18.0,9.0,4.0,5.0
2021-01-07,80.0,23.0,4.0,9.0,4.0
2021-01-08,61.0,15.0,5.0,1.0,4.0
2021-01-09,20.0,2.0,4.0,3.0,0.0
2021-01-10,23.0,6.0,3.0,5.0,4.0
2021-01-11,74.0,12.0,3.0,12.0,2.0
2021-01-12,53.0,8.0,2.0,6.0,3.0
2021-01-13,105.0,9.0,8.0,20.0,2.0
2021-01-14,63.0,11.0,8.0,3.0,5.0
2021-01-15,75.0,12.0,3.0,7.0,4.0
2021-01-16,27.0,4.0,4.0,2.0,4.0
2021-01-17,10.0,3.0,1.0,0.0,0.0
2021-01-18,52.0,7.0,5.0,6.0,5.0
2021-01-19,55.0,16.0,5.0,4.0,5.0
2021-01-20,37.0,15.0,0.0,0.0,1.0
2021-01-21,61.0,13.0,9.0,1.0,7.0
2021-01-22,37.0,6.0,5.0,11.0,5.0
2021-01-23,41.0,2.0,7.0,0.0,2.0
2021-01-24,39.0,3.0,6.0,8.0,8.0
2021-01-25,99.0,19.0,7.0,10.0,3.0
2021-01-26,90.0,13.0,7.0,14.0,4.0
2021-01-27,76.0,14.0,7.0,5.0,7.0
2021-01-28,83.0,9.0,10.0,0.0,2.0
2021-01-29,85.0,10.0,6.0,19.0,6.0
2021-01-30,37.0,9.0,4.0,4.0,4.0
2021-01-31,7.0,4.0,0.0,4.0,1.0
2021-02-01,85.0,14.0,10.0,21.0,10.0
2021-02-02,74.0,18.0,6.0,5.0,7.0
2021-02-03,119.0,15.0,11.0,11.0,8.0
2021-02-04,73.0,9.0,7.0,4.0,4.0
2021-02-05,81.0,12.0,7.0,2.0,8.0
2021-02-06,23.0,2.0,3.0,4.0,2.0
2021-02-07,50.0,8.0,5.0,2.0,4.0
2021-02-08,45.0,12.0,4.0,15.0,1.0
2021-02-09,47.0,8.0,1.0,19.0,1.0
2021-02-10,41.0,5.0,4.0,5.0,4.0
2021-02-11,13.0,6.0,1.0,0.0,1.0
2021-02-12,20.0,3.0,0.0,1.0,0.0
2021-02-13,7.0,0.0,0.0,0.0,0.0
2021-02-14,1.0,3.0,0.0,0.0,0.0
2021-02-15,0.0,0.0,0.0,0.0,0.0
2021-02-16,3.0,0.0,4.0,0.0,4.0
2021-02-17,3.0,0.0,2.0,0.0,2.0
2021-02-18,2.0,0.0,0.0,0.0,0.0
2021-02-19,69.0,14.0,23.0,23.0,10.0
2021-02-20,59.0,10.0,12.0,24.0,8.0
2021-02-21,3.0,1.0,0.0,0.0,1.0
2021-02-22,89.0,12.0,9.0,16.0,7.0
2021-02-23,51.0,13.0,8.0,3.0,6.0
2021-02-24,37.0,11.0,4.0,0.0,7.0
2021-02-25,74.0,23.0,11.0,11.0,5.0
2021-02-26,53.0,11.0,4.0,9.0,4.0
2021-02-27,28.0,4.0,3.0,3.0,2.0
2021-02-28,60.0,5.0,8.0,7.0,7.0
2021-03-01,41.0,14.0,6.0,7.0,3.0
2021-03-02,87.0,16.0,10.0,4.0,8.0
2021-03-03,79.0,8.0,4.0,5.0,4.0
2021-03-04,43.0,12.0,2.0,0.0,1.0
2021-03-05,54.0,10.0,3.0,0.0,3.0
2021-03-06,26.0,3.0,4.0,2.0,5.0
2021-03-07,6.0,1.0,1.0,0.0,1.0
2021-03-08,56.0,16.0,5.0,1.0,3.0
2021-03-09,59.0,10.0,11.0,5.0,8.0
2021-03-10,44.0,9.0,5.0,5.0,4.0
2021-03-11,104.0,12.0,8.0,6.0,7.0
2021-03-12,62.0,5.0,8.0,13.0,2.0
2021-03-13,28.0,4.0,4.0,9.0,3.0
2021-03-14,39.0,1.0,3.0,11.0,5.0
2021-03-15,47.0,10.0,3.0,0.0,2.0
2021-03-16,70.0,8.0,5.0,3.0,1.0
2021-03-17,31.0,6.0,1.0,1.0,1.0
2021-03-18,33.0,8.0,3.0,5.0,1.0
2021-03-19,70.0,9.0,10.0,10.0,6.0
2021-03-20,23.0,2.0,2.0,2.0,2.0
2021-03-21,6.0,2.0,4.0,2.0,0.0
2021-03-22,52.0,14.0,6.0,4.0,3.0
2021-03-23,43.0,6.0,4.0,1.0,3.0
2021-03-24,77.0,6.0,5.0,6.0,8.0
2021-03-25,54.0,10.0,4.0,3.0,5.0
2021-03-26,39.0,5.0,3.0,0.0,2.0
2021-03-27,13.0,2.0,1.0,0.0,0.0
2021-03-28,18.0,4.0,2.0,3.0,0.0
2021-03-29,70.0,11.0,8.0,4.0,4.0
2021-03-30,48.0,7.0,3.0,1.0,3.0
2021-03-31,78.0,14.0,6.0,6.0,4.0
2021-04-01,79.0,14.0,5.0,4.0,3.0
2021-04-02,43.0,5.0,2.0,0.0,1.0
2021-04-03,11.0,1.0,2.0,0.0,3.0
2021-04-04,10.0,0.0,0.0,0.0,0.0
2021-04-05,15.0,3.0,2.0,0.0,0.0
2021-04-06,41.0,6.0,2.0,1.0,3.0
2021-04-07,62.0,11.0,2.0,0.0,0.0
2021-04-08,57.0,16.0,2.0,0.0,3.0
2021-04-09,34.0,9.0,3.0,7.0,2.0
2021-04-10,24.0,1.0,4.0,1.0,4.0
2021-04-11,13.0,5.0,1.0,0.0,1.0
2021-04-12,45.0,13.0,6.0,1.0,4.0
2021-04-13,80.0,7.0,9.0,8.0,4.0
2021-04-14,24.0,5.0,2.0,2.0,5.0
2021-04-15,37.0,12.0,2.0,1.0,1.0
2021-04-16,62.0,16.0,4.0,0.0,1.0
