date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,8.0,2.0,1.0,1.0,0.0
2021-01-02,3.0,0.0,1.0,0.0,0.0
2021-01-03,4.0,0.0,1.0,3.0,1.0
2021-01-04,8.0,2.0,0.0,1.0,0.0
2021-01-05,12.0,2.0,1.0,0.0,2.0
2021-01-06,10.0,1.0,0.0,8.0,4.0
2021-01-07,12.0,0.0,3.0,7.0,2.0
2021-01-08,5.0,0.0,2.0,9.0,5.0
2021-01-09,17.0,0.0,2.0,5.0,0.0
2021-01-10,15.0,0.0,2.0,3.0,2.0
2021-01-11,10.0,2.0,2.0,3.0,0.0
2021-01-12,28.0,3.0,7.0,8.0,5.0
2021-01-13,14.0,4.0,0.0,0.0,2.0
2021-01-14,30.0,3.0,6.0,8.0,4.0
2021-01-15,15.0,1.0,2.0,6.0,1.0
2021-01-16,2.0,0.0,0.0,2.0,0.0
2021-01-17,4.0,0.0,1.0,1.0,0.0
2021-01-18,17.0,4.0,3.0,2.0,4.0
2021-01-19,13.0,2.0,3.0,2.0,1.0
2021-01-20,15.0,3.0,3.0,15.0,0.0
2021-01-21,5.0,1.0,1.0,9.0,1.0
2021-01-22,22.0,3.0,6.0,1.0,6.0
2021-01-23,10.0,4.0,1.0,4.0,6.0
2021-01-24,12.0,0.0,2.0,2.0,3.0
2021-01-25,11.0,1.0,1.0,9.0,1.0
2021-01-26,14.0,2.0,3.0,5.0,3.0
2021-01-27,22.0,2.0,3.0,23.0,4.0
2021-01-28,11.0,3.0,2.0,7.0,1.0
2021-01-29,29.0,4.0,4.0,8.0,3.0
2021-01-30,56.0,4.0,4.0,0.0,1.0
2021-01-31,65.0,0.0,5.0,2.0,0.0
2021-02-01,60.0,4.0,1.0,16.0,6.0
2021-02-02,45.0,3.0,2.0,1.0,3.0
2021-02-03,34.0,3.0,4.0,0.0,2.0
2021-02-04,41.0,1.0,5.0,7.0,5.0
2021-02-05,25.0,5.0,5.0,8.0,6.0
2021-02-06,12.0,4.0,4.0,0.0,0.0
2021-02-07,6.0,0.0,0.0,5.0,1.0
2021-02-08,9.0,0.0,2.0,14.0,2.0
2021-02-09,13.0,1.0,3.0,6.0,2.0
2021-02-10,12.0,0.0,0.0,4.0,2.0
2021-02-11,12.0,1.0,3.0,12.0,1.0
2021-02-12,17.0,0.0,4.0,12.0,5.0
2021-02-13,7.0,1.0,1.0,1.0,0.0
2021-02-14,10.0,2.0,1.0,0.0,0.0
2021-02-15,13.0,1.0,0.0,0.0,0.0
2021-02-16,24.0,1.0,3.0,8.0,6.0
2021-02-17,13.0,0.0,2.0,8.0,1.0
2021-02-18,49.0,4.0,6.0,11.0,3.0
2021-02-19,40.0,3.0,4.0,11.0,5.0
2021-02-20,19.0,1.0,4.0,4.0,4.0
2021-02-21,13.0,1.0,2.0,8.0,16.0
2021-02-22,30.0,2.0,6.0,21.0,5.0
2021-02-23,269.0,21.0,9.0,10.0,9.0
2021-02-24,108.0,6.0,6.0,13.0,4.0
2021-02-25,71.0,6.0,8.0,11.0,8.0
2021-02-26,27.0,4.0,4.0,7.0,3.0
