date,IssueComment,openIssue,openPR,ReviewComment,mergePR
2021-01-01,42.0,26.0,4.0,0.0,0.0
2021-01-02,48.0,37.0,3.0,0.0,0.0
2021-01-03,70.0,20.0,2.0,0.0,0.0
2021-01-04,400.0,53.0,0.0,6.0,6.0
2021-01-05,344.0,63.0,10.0,17.0,8.0
2021-01-06,422.0,66.0,10.0,8.0,7.0
2021-01-07,333.0,71.0,4.0,13.0,4.0
2021-01-08,268.0,38.0,9.0,11.0,7.0
2021-01-09,84.0,28.0,2.0,6.0,1.0
2021-01-10,57.0,18.0,5.0,7.0,0.0
2021-01-11,269.0,52.0,5.0,32.0,8.0
2021-01-12,239.0,56.0,6.0,3.0,3.0
2021-01-13,366.0,72.0,11.0,6.0,6.0
2021-01-14,271.0,58.0,5.0,7.0,6.0
2021-01-15,274.0,45.0,14.0,4.0,12.0
2021-01-16,94.0,29.0,3.0,12.0,0.0
2021-01-17,62.0,26.0,4.0,0.0,0.0
2021-01-18,226.0,37.0,5.0,8.0,5.0
2021-01-19,240.0,45.0,7.0,12.0,11.0
2021-01-20,225.0,51.0,16.0,10.0,12.0
2021-01-21,209.0,48.0,8.0,10.0,9.0
2021-01-22,301.0,68.0,3.0,8.0,5.0
2021-01-23,111.0,37.0,5.0,0.0,2.0
2021-01-24,77.0,25.0,1.0,0.0,0.0
2021-01-25,349.0,81.0,11.0,11.0,11.0
2021-01-26,457.0,192.0,8.0,4.0,2.0
2021-01-27,537.0,96.0,14.0,7.0,3.0
2021-01-28,357.0,66.0,10.0,2.0,7.0
2021-01-29,350.0,82.0,8.0,1.0,0.0
2021-01-30,92.0,27.0,8.0,12.0,0.0
2021-01-31,109.0,26.0,1.0,2.0,0.0
2021-02-01,305.0,56.0,12.0,16.0,16.0
2021-02-02,341.0,58.0,13.0,2.0,16.0
2021-02-03,319.0,66.0,10.0,0.0,14.0
2021-02-04,284.0,69.0,13.0,14.0,5.0
2021-02-05,539.0,128.0,14.0,16.0,8.0
2021-02-06,122.0,55.0,2.0,0.0,2.0
2021-02-07,132.0,57.0,4.0,2.0,0.0
2021-02-08,438.0,78.0,6.0,2.0,6.0
2021-02-09,530.0,78.0,13.0,5.0,13.0
2021-02-10,477.0,135.0,15.0,11.0,12.0
2021-02-11,356.0,106.0,9.0,33.0,7.0
2021-02-12,361.0,79.0,4.0,15.0,8.0
2021-02-13,77.0,32.0,4.0,4.0,1.0
2021-02-14,69.0,33.0,1.0,2.0,0.0
2021-02-15,254.0,70.0,2.0,0.0,2.0
2021-02-16,297.0,75.0,3.0,7.0,3.0
2021-02-17,302.0,72.0,8.0,13.0,3.0
2021-02-18,311.0,79.0,12.0,66.0,6.0
2021-02-19,292.0,99.0,13.0,35.0,13.0
2021-02-20,114.0,46.0,5.0,2.0,0.0
2021-02-21,96.0,40.0,0.0,2.0,0.0
2021-02-22,529.0,95.0,8.0,33.0,12.0
2021-02-23,499.0,206.0,4.0,4.0,2.0
2021-02-24,527.0,124.0,4.0,16.0,1.0
2021-02-25,379.0,72.0,9.0,3.0,3.0
2021-02-26,346.0,73.0,16.0,7.0,7.0
2021-02-27,104.0,27.0,5.0,1.0,0.0
2021-02-28,61.0,16.0,1.0,1.0,0.0
2021-03-01,333.0,69.0,7.0,4.0,12.0
2021-03-02,324.0,48.0,12.0,14.0,10.0
2021-03-03,266.0,81.0,6.0,35.0,1.0
2021-03-04,266.0,59.0,9.0,18.0,11.0
2021-03-05,415.0,106.0,17.0,32.0,11.0
2021-03-06,138.0,57.0,4.0,0.0,1.0
2021-03-07,141.0,46.0,3.0,1.0,0.0
2021-03-08,456.0,88.0,14.0,11.0,14.0
2021-03-09,317.0,65.0,10.0,6.0,12.0
2021-03-10,259.0,68.0,10.0,30.0,8.0
2021-03-11,339.0,89.0,5.0,4.0,7.0
2021-03-12,328.0,71.0,9.0,21.0,7.0
2021-03-13,109.0,43.0,3.0,0.0,0.0
2021-03-14,97.0,32.0,3.0,0.0,0.0
2021-03-15,336.0,85.0,10.0,21.0,3.0
