dataset,mse,mae
PhotoSwipe,2.673,0.919
three.js,0.789,0.704
fetch,0.11,0.188
free-programming-books,137.931,7.937
awesome-swift,0.547,0.46
parcel,0.615,0.596
type-challenges,2.808,1.033
fish-shell,1.323,0.826
feather,0.083,0.147
joi,12.91,2.332
angular.js,171.332,4.371
scikit-learn,0.636,0.645
redux-saga,9.965,1.925
Real-Time-Voice-Cloning,0.086,0.135
druid,5.683,1.445
lighthouse,0.208,0.358
angular-cli,0.319,0.451
autoprefixer,0.378,0.379
cobra,1.666,1.012
NativeScript,1.112,0.689
material-ui,0.227,0.381
RSSHub,0.85,0.741
mkcert,0.291,0.223
awesome-electron,0.026,0.083
logrus,0.098,0.18
monaco-editor,23.864,2.467
enzyme,0.419,0.375
architecture-components-samples,0.017,0.081
taro,1.283,0.891
jq,1.097,0.583
RxAndroid,96.574,2.669
socket.io,0.17,0.223
create-react-app,0.592,0.624
formik,0.339,0.37
react-navigation,1.456,0.932
blueprint,0.913,0.749
shadowsocks-android,0.823,0.475
pyenv,0.771,0.651
graphql-engine,1.083,0.708
video.js,0.613,0.635
nsq,0.18,0.283
Signal-Android,0.161,0.251
react-native-elements,0.156,0.262
ant-design,2.853,1.213
developer-roadmap,57.23,6.149
mxnet,0.478,0.6
ink,0.354,0.32
WxJava,1.766,1.071
ClickHouse,0.38,0.489
wiki,2.479,1.028
zustand,1.516,1.022
neovim,0.719,0.662
react-query,2.732,1.274
barrier,0.127,0.227
rich,0.787,0.685
33-js-concepts,18.739,2.558
Files,1.038,0.813
bitcoinbook,0.202,0.179
gson,9.393,2.076
keras,0.341,0.471
google-research,0.425,0.42
macOS-Security-and-Privacy-Guide,5.312,0.937
tools,1.46,0.725
discord.js,0.551,0.596
terminal,0.313,0.43
tensorflow,0.45,0.513
nuxt.js,0.089,0.188
acme.sh,1.058,0.836
pytorch-image-models,116.963,3.434
prometheus,0.4,0.518
material-design-icons,0.581,0.448
meilisearch,2.626,1.304
backbone,0.009,0.052
scrcpy,0.344,0.428
javascript-algorithms,1.591,0.649
build-your-own-x,19.727,2.165
jadx,1.355,0.895
react-select,9.922,1.893
slidev,0.419,0.373
srs,1.342,0.791
pandas,1.761,1.181
openpilot,1.065,0.847
impress.js,1.96,0.876
eslint,1.284,0.806
plyr,0.527,0.498
HanLP,0.539,0.48
ghidra,1.172,0.738
storybook,2.892,1.34
rethinkdb,395.226,6.337
terminus,0.326,0.418
flatbuffers,1.358,0.884
immutable-js,0.152,0.231
osquery,0.37,0.504
dive,0.195,0.257
alacritty,0.493,0.564
pipenv,9.293,2.364
swc,3.922,0.947
dbeaver,0.817,0.639
immer,0.557,0.525
react-hook-form,0.241,0.398
hyper,0.693,0.563
caddy,3.77,1.548
tmux,0.388,0.403
Python,131.677,7.158
selenium,3.691,1.378
glide,7.332,1.548
diagrams,3.766,1.102
act,0.512,0.585
rclone,0.605,0.557
jquery,3.355,1.36
beego,0.316,0.385
locust,1.146,0.856
webpack,0.261,0.347
seata,0.373,0.492
ionic-framework,1.116,0.848
react-admin,0.453,0.538
linux-command,74.891,3.382
prettier,1.252,0.894
components,0.788,0.628
etcd,2.294,1.176
zxing,0.175,0.263
python-patterns,0.606,0.34
retrofit,0.198,0.264
github-readme-stats,7.663,1.996
ohmyzsh,1.464,0.961
rustlings,0.751,0.679
kubernetes,0.664,0.62
penpot,2.446,1.117
react-bootstrap,0.444,0.49
uppy,1.507,0.993
lottie-ios,1.587,0.955
vaultwarden,3.275,1.332
30-Days-Of-JavaScript,1.94,0.961
iina,20.6,3.089
awesome-react,0.96,0.229
electron-react-boilerplate,0.303,0.399
stb,0.649,0.569
homebridge,0.255,0.313
celery,1.593,0.937
docsify,0.857,0.654
alpine,0.178,0.286
swift,0.361,0.473
webtorrent,0.983,0.693
gin,0.398,0.508
imgui,0.977,0.763
PowerToys,1.124,0.831
lazydocker,3.501,1.398
streamlit,1.791,0.933
tesseract,0.295,0.431
spring-framework,0.59,0.579
Ventoy,0.901,0.589
pm2,6.687,1.299
bat,0.71,0.59
transformers,1.289,0.884
skywalking,0.919,0.825
react-three-fiber,1.237,0.919
dokku,0.207,0.347
odoo,1.456,0.955
awesome-compose,0.44,0.516
meteor,0.916,0.726
jsPDF,1.467,0.721
mediapipe,8.191,1.578
chinese-programmer-wrong-pronunciation,1.503,0.88
jekyll,1.801,0.97
javascript,0.719,0.599
jax,0.545,0.572
learnGitBranching,0.372,0.408
Sortable,0.829,0.509
hacker-scripts,0.354,0.343
halo,6.967,1.977
PayloadsAllTheThings,4.534,1.341
Rectangle,6.551,1.916
AdminLTE,0.271,0.338
chakra-ui,0.346,0.484
select2,4.914,1.009
svelte,0.454,0.54
intro.js,1.96,0.849
the-book-of-secret-knowledge,6.39,0.897
prisma,1.072,0.754
faceswap,1.174,0.703
rustdesk,27.703,3.527
hackingtool,8.489,1.572
mobx,0.648,0.65
echo,0.743,0.668
postcss,0.902,0.618
minikube,0.232,0.365
esbuild,0.282,0.394
jumpserver,1.142,0.89
es6tutorial,0.842,0.578
kit,0.028,0.112
